MouseID,Genotype,Treatment,BDNF_N,pCREB_N
309_1,Control,Memantine,0.4301753,0.232223754
309_2,Control,Memantine,0.411770344,0.226972108
309_3,Control,Memantine,0.418308781,0.230246795
309_4,Control,Memantine,0.358626307,0.207004208
309_5,Control,Memantine,0.358802202,0.192157916
309_6,Control,Memantine,0.36738809,0.195187525
309_7,Control,Memantine,0.342708988,0.195788812
309_8,Control,Memantine,0.327702703,0.18980344
309_9,Control,Memantine,0.317720418,0.180684455
309_10,Control,Memantine,0.362462159,0.188092836
309_11,Control,Memantine,0.327792418,0.185282789
309_12,Control,Memantine,0.355123675,0.190223793
309_13,Control,Memantine,0.312539251,0.171027842
309_14,Control,Memantine,0.31095107,0.179834781
309_15,Control,Memantine,0.344629287,0.176422263
311_1,Control,Memantine,0.377741793,0.19446489
311_2,Control,Memantine,0.351590595,0.174688797
311_3,Control,Memantine,0.350110314,0.171400993
311_4,Control,Memantine,0.356396867,0.190973517
311_5,Control,Memantine,0.312479741,0.16191248
311_6,Control,Memantine,0.319700661,0.174556213
311_7,Control,Memantine,0.387750349,0.182114578
311_8,Control,Memantine,0.349773756,0.176696833
311_9,Control,Memantine,0.308488176,0.168074324
311_10,Control,Memantine,0.320852692,0.178190763
311_11,Control,Memantine,0.384445147,0.202023396
311_12,Control,Memantine,0.304278501,0.178049429
311_13,Control,Memantine,0.29130967,0.1624847
311_14,Control,Memantine,0.316055626,0.162136536
311_15,Control,Memantine,0.287250384,0.169892473
320_4,Control,Memantine,0.393464692,0.209154326
320_5,Control,Memantine,0.411203215,0.218538056
320_6,Control,Memantine,0.421203796,0.221028971
320_7,Control,Memantine,0.363541043,0.190832834
320_8,Control,Memantine,0.385529158,0.200401111
320_9,Control,Memantine,0.39158777,0.195405867
320_10,Control,Memantine,0.370568052,0.208921083
320_11,Control,Memantine,0.38436851,0.20841986
320_12,Control,Memantine,0.383670384,0.208278208
320_13,Control,Memantine,0.36030082,0.220601641
320_14,Control,Memantine,0.371539693,0.244566461
320_15,Control,Memantine,0.360785199,0.199232852
321_1,Control,Memantine,0.40296215,0.198354361
321_2,Control,Memantine,0.401297297,0.205081081
321_3,Control,Memantine,0.417958656,0.210594315
321_4,Control,Memantine,0.376029022,0.190037673
321_5,Control,Memantine,0.381124722,0.198496659
321_6,Control,Memantine,0.385842881,0.197081288
321_7,Control,Memantine,0.342756775,0.183506189
321_8,Control,Memantine,0.357512061,0.19314266
321_9,Control,Memantine,0.361935266,0.1908294
321_10,Control,Memantine,0.324573226,0.206199461
321_11,Control,Memantine,0.338937458,0.204662632
321_12,Control,Memantine,0.334286343,0.196613152
321_13,Control,Memantine,0.308093995,0.204960836
321_14,Control,Memantine,0.326368686,0.206559111
321_15,Control,Memantine,0.331942634,0.200521512
322_1,Control,Memantine,0.315109108,0.17955408
322_2,Control,Memantine,0.333042067,0.189239795
322_3,Control,Memantine,0.342568326,0.181579933
322_4,Control,Memantine,0.322269638,0.183657342
322_5,Control,Memantine,0.316708622,0.175739459
322_6,Control,Memantine,0.32354342,0.180346087
322_7,Control,Memantine,0.303490436,0.18339578
322_8,Control,Memantine,0.30297689,0.180963572
322_9,Control,Memantine,0.295910494,0.175154321
322_10,Control,Memantine,0.296166433,0.184431978
322_11,Control,Memantine,0.301080211,0.176281315
322_12,Control,Memantine,0.310731821,0.17512275
322_13,Control,Memantine,0.322732301,0.192477876
322_14,Control,Memantine,0.318987342,0.192123769
322_15,Control,Memantine,0.321250692,0.184560044
3415_1,Control,Memantine,0.405861767,0.23928259
3415_2,Control,Memantine,0.388583691,0.221030043
3415_3,Control,Memantine,0.400561453,0.222300202
3415_4,Control,Memantine,0.348346314,0.194152839
3415_5,Control,Memantine,0.350050716,0.194297306
3415_6,Control,Memantine,0.343910042,0.193052772
3415_7,Control,Memantine,0.311961722,0.190020506
3415_8,Control,Memantine,0.299947971,0.163891779
3415_9,Control,Memantine,0.30590604,0.173959732
3415_10,Control,Memantine,0.266223232,0.147955873
3415_11,Control,Memantine,0.262430939,0.165420864
3415_12,Control,Memantine,0.258428805,0.167430442
3415_13,Control,Memantine,0.261285075,0.135217568
3415_14,Control,Memantine,0.261164274,0.137958533
3415_15,Control,Memantine,0.257909491,0.142571085
3499_1,Control,Memantine,0.349929128,0.233965273
3499_2,Control,Memantine,0.355206074,0.237075199
3499_3,Control,Memantine,0.362377484,0.236309684
3499_4,Control,Memantine,0.302132435,0.201795735
3499_5,Control,Memantine,0.308327676,0.197103417
3499_6,Control,Memantine,0.306515581,0.194107649
3499_7,Control,Memantine,0.266096866,0.164957265
3499_8,Control,Memantine,0.264008005,0.159090909
3499_9,Control,Memantine,0.268153915,0.167689774
3499_10,Control,Memantine,0.255778894,0.155108878
3499_11,Control,Memantine,0.251350439,0.150236327
3499_12,Control,Memantine,0.296085532,0.151577858
3499_13,Control,Memantine,0.284346847,0.138513514
3499_14,Control,Memantine,0.236207219,0.140826632
3499_15,Control,Memantine,0.21584343,0.135135135
3507_1,Control,Memantine,0.337220879,0.227705874
3507_2,Control,Memantine,0.332252608,0.22511982
3507_3,Control,Memantine,0.341173096,0.222572781
3507_4,Control,Memantine,0.307379714,0.2039987
3507_5,Control,Memantine,0.323729094,0.203179334
3507_6,Control,Memantine,0.326544467,0.211133741
3507_7,Control,Memantine,0.304048742,0.210888365
3507_8,Control,Memantine,0.313173157,0.202361226
3507_9,Control,Memantine,0.305140962,0.213723051
3507_10,Control,Memantine,0.284329946,0.199480028
3507_11,Control,Memantine,0.311242023,0.206921944
3507_12,Control,Memantine,0.31012333,0.206577595
3507_13,Control,Memantine,0.336109459,0.226948245
3507_14,Control,Memantine,0.295235394,0.237663074
3507_15,Control,Memantine,0.331598728,0.240242845
3520_1,Control,Memantine,0.393314501,0.246986817
3520_2,Control,Memantine,0.394525268,0.243587289
3520_3,Control,Memantine,0.390470767,0.23443432
3520_4,Control,Memantine,0.369172342,0.223022525
3520_5,Control,Memantine,0.35777692,0.204940178
3520_6,Control,Memantine,0.350833768,0.208051068
3520_7,Control,Memantine,0.328569134,0.208286494
3520_8,Control,Memantine,0.331195244,0.195869837
3520_9,Control,Memantine,0.309215537,0.193602437
3520_10,Control,Memantine,0.310204082,0.206938776
3520_11,Control,Memantine,0.313192557,0.2226636
3520_12,Control,Memantine,0.335357215,0.207447885
3520_13,Control,Memantine,0.305296714,0.214320745
3520_14,Control,Memantine,0.323751891,0.225163893
3520_15,Control,Memantine,0.308157831,0.2050351
3521_3,Control,Memantine,0.431228585,0.261951379
3521_4,Control,Memantine,0.386822409,0.234633704
3521_5,Control,Memantine,0.387912462,0.228937521
3521_6,Control,Memantine,0.381477398,0.226681367
3521_7,Control,Memantine,0.363164203,0.210280996
3521_8,Control,Memantine,0.344836775,0.207728181
3521_9,Control,Memantine,0.351973244,0.204949833
3521_10,Control,Memantine,0.335082197,0.201818818
3521_11,Control,Memantine,0.338439615,0.204666904
3521_12,Control,Memantine,0.33813987,0.207281903
3521_13,Control,Memantine,0.312938596,0.211403509
3521_14,Control,Memantine,0.326589595,0.206758559
3521_15,Control,Memantine,0.306182122,0.197786132
294_1,Control,Memantine,0.308490308,0.227409227
294_2,Control,Memantine,0.289043982,0.211614432
294_3,Control,Memantine,0.32184851,0.217528028
294_4,Control,Memantine,0.299533598,0.206253239
294_5,Control,Memantine,0.297411605,0.203857215
294_6,Control,Memantine,0.283040552,0.204071581
294_7,Control,Memantine,0.316701903,0.241226216
294_8,Control,Memantine,0.294576828,0.225349219
294_9,Control,Memantine,0.281316554,0.198063892
294_10,Control,Memantine,0.34338495,0.239337137
294_11,Control,Memantine,0.326210093,0.220906282
294_12,Control,Memantine,0.325207469,0.223288382
294_13,Control,Memantine,0.324550527,0.238065716
294_14,Control,Memantine,0.365986395,0.251020408
294_15,Control,Memantine,0.362389814,0.246163892
3412_1,Control,Memantine,0.281871827,0.215589406
3412_2,Control,Memantine,0.298375805,0.221366564
3412_3,Control,Memantine,0.303705807,0.236546926
3412_4,Control,Memantine,0.293353836,0.208440116
3412_5,Control,Memantine,0.304831422,0.215849844
3412_6,Control,Memantine,0.29828251,0.223624255
3412_7,Control,Memantine,0.30015083,0.211592329
3412_8,Control,Memantine,0.299458288,0.213434453
3412_9,Control,Memantine,0.294462541,0.222149837
3412_10,Control,Memantine,0.304347826,0.206643869
3412_11,Control,Memantine,0.299629172,0.213844252
3412_12,Control,Memantine,0.321589205,0.223388306
3412_13,Control,Memantine,0.3171875,0.2259375
3412_14,Control,Memantine,0.317687286,0.232825614
3412_15,Control,Memantine,0.346354167,0.237630208
3413_1,Control,Memantine,0.265467626,0.202068345
3413_3,Control,Memantine,0.266897148,0.196974935
3413_4,Control,Memantine,0.232138956,0.164955211
3413_5,Control,Memantine,0.255172414,0.169458128
3413_6,Control,Memantine,0.239452055,0.171726027
3413_7,Control,Memantine,0.221028905,0.15924158
3413_8,Control,Memantine,0.217385621,0.150980392
3413_9,Control,Memantine,0.222236705,0.150938478
3413_10,Control,Memantine,0.212386795,0.135261467
3413_11,Control,Memantine,0.198158702,0.134882362
3413_12,Control,Memantine,0.220139771,0.146601017
3413_14,Control,Memantine,0.197270686,0.127483158
3413_15,Control,Memantine,0.228643705,0.147304923
3419_1,Control,Memantine,0.294584838,0.221083032
3419_2,Control,Memantine,0.290589602,0.214057508
3419_3,Control,Memantine,0.279473537,0.205404649
3419_4,Control,Memantine,0.282661571,0.211084086
3419_5,Control,Memantine,0.284984138,0.212019739
3419_6,Control,Memantine,0.258191997,0.198583896
3419_7,Control,Memantine,0.269407346,0.213480801
3419_8,Control,Memantine,0.252742869,0.200079793
3419_9,Control,Memantine,0.248001599,0.20303757
3419_10,Control,Memantine,0.308648649,0.234594595
3419_11,Control,Memantine,0.280010438,0.230167015
3419_12,Control,Memantine,0.267983419,0.212874909
3419_13,Control,Memantine,0.317257218,0.262795276
3419_14,Control,Memantine,0.283713851,0.256316591
3419_15,Control,Memantine,0.272194821,0.232737361
3420_1,Control,Memantine,0.26672484,0.213496219
3420_2,Control,Memantine,0.26,0.222627737
3420_3,Control,Memantine,0.247090663,0.194046008
3420_4,Control,Memantine,0.268394346,0.225625227
3420_5,Control,Memantine,0.267684022,0.217055655
3420_6,Control,Memantine,0.239206908,0.18835945
3420_7,Control,Memantine,0.31383452,0.225088968
3420_8,Control,Memantine,0.260969977,0.207642242
3420_9,Control,Memantine,0.249135652,0.217408989
3420_11,Control,Memantine,0.324469769,0.285533397
3420_12,Control,Memantine,0.301639344,0.261102832
3420_13,Control,Memantine,0.397491039,0.292473118
3420_14,Control,Memantine,0.335948158,0.273874488
3420_15,Control,Memantine,0.342714642,0.283576772
3500_1,Control,Memantine,0.327984199,0.220343168
3500_2,Control,Memantine,0.291023764,0.198445771
3500_3,Control,Memantine,0.291796111,0.201357726
3500_4,Control,Memantine,0.324419114,0.206780652
3500_5,Control,Memantine,0.285832415,0.192668137
3500_6,Control,Memantine,0.275020793,0.187551982
3500_7,Control,Memantine,0.316703559,0.201089733
3500_8,Control,Memantine,0.263367917,0.18499601
3500_9,Control,Memantine,0.265627537,0.182172431
3500_10,Control,Memantine,0.276941601,0.179811359
3500_11,Control,Memantine,0.26371308,0.179324895
3500_12,Control,Memantine,0.258155231,0.171353581
3500_13,Control,Memantine,0.320754717,0.191340106
3500_14,Control,Memantine,0.280268022,0.18461183
3500_15,Control,Memantine,0.280898876,0.187265918
3503_1,Control,Memantine,0.290876474,0.186058432
3503_2,Control,Memantine,0.309183948,0.194990574
3503_3,Control,Memantine,0.288297733,0.194469925
3503_4,Control,Memantine,0.311251664,0.198069241
3503_5,Control,Memantine,0.284369115,0.188794727
3503_6,Control,Memantine,0.279554264,0.191860465
3503_7,Control,Memantine,0.267342167,0.183943882
3503_8,Control,Memantine,0.28141698,0.183059569
3503_9,Control,Memantine,0.315329318,0.179327764
3503_10,Control,Memantine,0.31290602,0.179514942
3503_11,Control,Memantine,0.297578638,0.181941616
3503_12,Control,Memantine,0.267662135,0.196790729
3503_13,Control,Memantine,0.268236646,0.184951177
3503_14,Control,Memantine,0.316858869,0.169412411
3503_15,Control,Memantine,0.332021792,0.182506053
362_1,Control,Memantine,0.305588429,0.19947403
362_2,Control,Memantine,0.299698202,0.188557932
362_3,Control,Memantine,0.296756209,0.176507856
362_4,Control,Memantine,0.286402312,0.178840905
362_5,Control,Memantine,0.289150868,0.183367851
362_6,Control,Memantine,0.280287635,0.172893544
362_7,Control,Memantine,0.276961252,0.163199084
362_8,Control,Memantine,0.265610262,0.16789285
362_9,Control,Memantine,0.276144109,0.173515093
362_10,Control,Memantine,0.290691887,0.174962668
362_11,Control,Memantine,0.274701671,0.172792363
362_12,Control,Memantine,0.249596681,0.180225858
362_13,Control,Memantine,0.303225806,0.189677419
362_14,Control,Memantine,0.284480099,0.175563098
362_15,Control,Memantine,0.27866939,0.168077035
364_1,Control,Memantine,0.337857815,0.237064911
364_2,Control,Memantine,0.337149087,0.2491142
364_3,Control,Memantine,0.371796749,0.272074974
364_4,Control,Memantine,0.319888047,0.22818571
364_5,Control,Memantine,0.331918506,0.239388795
364_6,Control,Memantine,0.345113978,0.262767273
364_7,Control,Memantine,0.302771411,0.227964159
364_8,Control,Memantine,0.30942667,0.241142366
364_9,Control,Memantine,0.303419689,0.237098446
364_10,Control,Memantine,0.310131477,0.237947925
364_11,Control,Memantine,0.363934426,0.263661202
364_12,Control,Memantine,0.317728319,0.244563827
364_13,Control,Memantine,0.268688082,0.248273792
364_14,Control,Memantine,0.258377425,0.278365667
365_1,Control,Memantine,0.337206545,0.211761916
365_2,Control,Memantine,0.347400242,0.225513906
365_3,Control,Memantine,0.355216466,0.231724627
365_4,Control,Memantine,0.316156191,0.209174046
365_5,Control,Memantine,0.323482078,0.208339429
365_6,Control,Memantine,0.307015092,0.201788709
365_7,Control,Memantine,0.281439197,0.198235599
365_8,Control,Memantine,0.292704786,0.208460298
365_9,Control,Memantine,0.303951921,0.229284283
365_10,Control,Memantine,0.2463138,0.179773157
365_11,Control,Memantine,0.291970803,0.202662087
365_12,Control,Memantine,0.288242731,0.198482933
365_13,Control,Memantine,0.279959463,0.209019508
365_14,Control,Memantine,0.317024887,0.231052036
365_15,Control,Memantine,0.338731086,0.216617998
3477_1,Control,Saline,0.414979938,0.265893892
3477_2,Control,Saline,0.42432531,0.275984683
3477_4,Control,Saline,0.390845886,0.240208575
3477_5,Control,Saline,0.389175553,0.238390093
3477_6,Control,Saline,0.414547605,0.256061502
3477_7,Control,Saline,0.349670577,0.224168408
3477_8,Control,Saline,0.361981302,0.220272265
3477_9,Control,Saline,0.385111073,0.238256741
3477_10,Control,Saline,0.37947644,0.222827225
3477_11,Control,Saline,0.367043551,0.225083752
3477_12,Control,Saline,0.372024436,0.225405519
3477_13,Control,Saline,0.338769069,0.238558653
3477_14,Control,Saline,0.357764303,0.230951753
3477_15,Control,Saline,0.346470891,0.212004122
3478_1,Control,Saline,0.419017131,0.224173732
3478_2,Control,Saline,0.432892907,0.238960362
3478_4,Control,Saline,0.364471669,0.194486983
3478_5,Control,Saline,0.376171829,0.190577904
3478_6,Control,Saline,0.39099809,0.194842407
3478_7,Control,Saline,0.339267767,0.182770998
3478_8,Control,Saline,0.350977797,0.206734304
3478_9,Control,Saline,0.369603267,0.183634772
3478_10,Control,Saline,0.320470415,0.177692025
3478_11,Control,Saline,0.311541144,0.17346583
3478_12,Control,Saline,0.323897059,0.182904412
3478_13,Control,Saline,0.297027645,0.188526294
3478_14,Control,Saline,0.312943633,0.183507307
3478_15,Control,Saline,0.308090213,0.187875026
3479_1,Control,Saline,0.360817477,0.196818685
3479_2,Control,Saline,0.347358997,0.194469313
3479_3,Control,Saline,0.366670089,0.203408974
3479_4,Control,Saline,0.326849733,0.177218408
3479_5,Control,Saline,0.32577239,0.184069874
3479_6,Control,Saline,0.3389315,0.190822534
3479_7,Control,Saline,0.307390451,0.185415304
3479_8,Control,Saline,0.322077922,0.177597403
3479_9,Control,Saline,0.316986611,0.180835619
3479_10,Control,Saline,0.343633656,0.216120625
3479_11,Control,Saline,0.353085952,0.21942446
3479_12,Control,Saline,0.340389972,0.210213556
3479_13,Control,Saline,0.351551264,0.228888432
3479_14,Control,Saline,0.360835619,0.238657945
3479_15,Control,Saline,0.372259696,0.248735245
3480_1,Control,Saline,0.397922752,0.210564752
3480_2,Control,Saline,0.41048321,0.212285012
3480_3,Control,Saline,0.400732367,0.199251712
3480_4,Control,Saline,0.332077446,0.18859236
3480_5,Control,Saline,0.327295183,0.187628654
3480_6,Control,Saline,0.326509512,0.180727874
3480_7,Control,Saline,0.294477745,0.166687922
3480_8,Control,Saline,0.299346241,0.159039477
